CHILE;SANTIAGO DE CHILE;COMUNA DE SANTIAGO;AVENIDA;PRESIDENTE BALMACEDA;;99999
ESPAÑA;ALICANTE;ALICANTE;CALLE;AGOST;;3012
ESPAÑA;ALICANTE;ALICANTE;AVENIDA;ALBUFERETA;;3016
ESPAÑA;ALICANTE;ALICANTE;AVENIDA;ALCOY;;3004
ESPAÑA;ALICANTE;ALICANTE;CALLE;ALONA;;3007
ESPAÑA;ALICANTE;ALICANTE;CALLE;ALVAREZ SEREIX;;3001
ESPAÑA;ALICANTE;ALICANTE;CALLE;ANTONIO SEQUEROS (BENEJUZAR);;3390
ESPAÑA;ALICANTE;ALICANTE;CALLE;AURELIANO IBARRA;;3009
ESPAÑA;ALICANTE;ALICANTE;CALLE;AUSO Y MONZO;;3006
ESPAÑA;ALICANTE;ALICANTE;CALLE;AV. ALFONSO X EL SABIO;;3001
ESPAÑA;ALICANTE;ALICANTE;CALLE;AV. COSTA BLANCA;;3540
ESPAÑA;ALICANTE;ALICANTE;CALLE;AV. DE NOVELDA;;3698
ESPAÑA;ALICANTE;ALICANTE;CALLE;AV. EUSEBIO SEMPERE;;3003
ESPAÑA;ALICANTE;ALICANTE;CALLE;AV. FEDERICO SOTO;;03001|03003
ESPAÑA;ALICANTE;ALICANTE;CALLE;BAILEN;;3001
ESPAÑA;ALICANTE;ALICANTE;CALLE;BUENAVISTA;;3008
ESPAÑA;ALICANTE;ALICANTE;CALLE;CABAÑAL (PINAR DE VISTAHERM.);;3016
ESPAÑA;ALICANTE;ALICANTE;CALLE;CABBALLERO DE RODAS-TORREVIEJA;;3180
ESPAÑA;ALICANTE;ALICANTE;CALLE;CALDERON DE LA BARCA;;3004
ESPAÑA;ALICANTE;ALICANTE;CALLE;CASTAÑO;;3001
ESPAÑA;ALICANTE;ALICANTE;AVENIDA;CONDE DE LUMIARES;;3010
ESPAÑA;ALICANTE;ALICANTE;CALLE;CTRA. DE BIGASTRO, KM;;3300
ESPAÑA;ALICANTE;ALICANTE;CALLE;CTRA. DE YECLA;;3400
ESPAÑA;ALICANTE;ALICANTE;CALLE;CTRA. NACIONAL 340 (ALCOY);;3801
ESPAÑA;ALICANTE;ALICANTE;CALLE;CTRA. OCAÑA;;3006
ESPAÑA;ALICANTE;ALICANTE;CALLE;CTRA. YECLA (VILLENA);;3400
ESPAÑA;ALICANTE;ALICANTE;AVENIDA;DENIA;;3016
ESPAÑA;ALICANTE;ALICANTE;CALLE;DEPORTISTAS HERMANOS TORRES;;3016
ESPAÑA;ALICANTE;ALICANTE;AVENIDA;DOCTOR GADEA;;3003
ESPAÑA;ALICANTE;ALICANTE;CALLE;DOCTOR JUST;;3007
ESPAÑA;ALICANTE;ALICANTE;CALLE;DRACMA;;3114
ESPAÑA;ALICANTE;ALICANTE;CALLE;EXPLANADA DE ESPAÑA;;3001
ESPAÑA;ALICANTE;ALICANTE;CALLE;GARCILASO DE LA VEGA;;3192
ESPAÑA;ALICANTE;ALICANTE;CALLE;GENERAL BONANZA;;3007
ESPAÑA;ALICANTE;ALICANTE;CALLE;GENERAL O'DONELL;;3003
ESPAÑA;ALICANTE;ALICANTE;CALLE;GERONA;;3001
ESPAÑA;ALICANTE;ALICANTE;CALLE;GOLETA;;3540
ESPAÑA;ALICANTE;ALICANTE;CALLE;GRAN VIA;;3009
ESPAÑA;ALICANTE;ALICANTE;AVENIDA;JEAN CLAUDE COMBALDIEU;;3008
ESPAÑA;ALICANTE;ALICANTE;CALLE;JORGE JUAN;;3002
ESPAÑA;ALICANTE;ALICANTE;AVENIDA;LORING;;3003
ESPAÑA;ALICANTE;ALICANTE;CALLE;LOS DOSCIENTOS;;3007
ESPAÑA;ALICANTE;ALICANTE;CARRETERA;MADRID;;3007
ESPAÑA;ALICANTE;ALICANTE;AVENIDA;MAISONNAVE;;3003
ESPAÑA;ALICANTE;ALICANTE;CALLE;MANUEL ANTON;;3004
ESPAÑA;ALICANTE;ALICANTE;CALLE;MAYOR (RAFOL DE ALMUNIA);;3769
ESPAÑA;ALICANTE;ALICANTE;CALLE;OSA MAYOR;;3006
ESPAÑA;ALICANTE;ALICANTE;CALLE;OSCAR ESPIA;;3008
ESPAÑA;ALICANTE;ALICANTE;CALLE;OSCAR ESPLA;;3003
ESPAÑA;ALICANTE;ALICANTE;CALLE;PABLO IGLESIAS;;3004
ESPAÑA;ALICANTE;ALICANTE;CALLE;PEDRO XAVIER SOLER;;3015
ESPAÑA;ALICANTE;ALICANTE;POLIGONO;PLA DE LA VALLONGA;;3006
ESPAÑA;ALICANTE;ALICANTE;CALLE;PORTUGAL;;3003
ESPAÑA;ALICANTE;ALICANTE;CALLE;PZA. DE ESPAÑA (ORBA);;3790
ESPAÑA;ALICANTE;ALICANTE;CALLE;PZA. LUCEROS;;3004
ESPAÑA;ALICANTE;ALICANTE;CALLE;RAMBLA DE MENDEZ NUÑEZ;;3002
ESPAÑA;ALICANTE;ALICANTE;CALLE;RAMON JUAN LAROSA;;3390
ESPAÑA;ALICANTE;ALICANTE;CALLE;RAMON Y CAJAL;;3003
ESPAÑA;ALICANTE;ALICANTE;CALLE;RAMÓN Y CAJAL;;3001
ESPAÑA;ALICANTE;ALICANTE;CALLE;REYES CATOLICOS;;3003
ESPAÑA;ALICANTE;ALICANTE;CALLE;RIO MUNI;;3007
ESPAÑA;ALICANTE;ALICANTE;CALLE;SAN FERNANDO;;3001
ESPAÑA;ALICANTE;ALICANTE;CALLE;SAN JOSE;;3002
ESPAÑA;ALICANTE;ALICANTE;CALLE;TENIENTE DURAN;;3004
ESPAÑA;ALICANTE;ALICANTE;CALLE;TRANSPORTES (POL. IND. BABEL);;3008
ESPAÑA;ALICANTE;ALICANTE;CAMINO;VIAL DE LOS CIPRESES;;3006
ESPAÑA;ALICANTE;ALICANTE;CALLE;VIRGEN DEL SOCORRO;;3002
ESPAÑA;ALICANTE;ALMORADI;CALLE;ANTONIO SEQUEROS;;3160
ESPAÑA;ALICANTE;ALMORADI;AVENIDA;BAÑET;;
ESPAÑA;ALICANTE;ALMORADI;PASEO;LAS MAROMAS;;3160
ESPAÑA;ALICANTE;ALMORADI;CALLE;LOS LLANOS;;3160
ESPAÑA;ALICANTE;ALMORADI;CALLE;NTRA.SRA. MONSERRATE;;3160
ESPAÑA;ALICANTE;ALMORADI;CALLE;PINTOR SOROLLA;;3160
ESPAÑA;ALICANTE;ALMORADI;CALLE;VALLADOLID;;3160
ESPAÑA;ALICANTE;ASPE;CALLE;BARRANCO;;3680
ESPAÑA;ALICANTE;BENEJUZAR;CALLE;RAMON Y CAJAL;;3390
ESPAÑA;ALICANTE;BENEJUZAR;CALLE;SAN PEDRO;;3390
ESPAÑA;ALICANTE;BENIDORM;CALLE;GOYA;;3502
ESPAÑA;ALICANTE;BENIDORM;CALLE;INVIERNO;;3501
ESPAÑA;ALICANTE;BENIDORM;CALLE;SICILIA;;3503
ESPAÑA;ALICANTE;BENIDORM;AVENIDA;VENEZUELA;;3502
ESPAÑA;ALICANTE;BENIJOFAR;PLAZA;PL.DE LA CONSTITUCION;;3178
ESPAÑA;ALICANTE;BIGASTRO;CALLE;DIPUTACION PROVINCIAL;;3380
ESPAÑA;ALICANTE;BIGASTRO;CALLE;GENERAL BAÑULS;;3380
ESPAÑA;ALICANTE;BIGASTRO;CALLE;MAESTRO GRAU;;3380
ESPAÑA;ALICANTE;BIGASTRO;CALLE;PADRE DAMIAN;;3380
ESPAÑA;ALICANTE;BIGASTRO;CALLE;SOROLLA;;3380
ESPAÑA;ALICANTE;CASTALLA;AVENIDA;DE IBI;;3420
ESPAÑA;ALICANTE;CASTALLA;AVENIDA;DE PETRER;;3420
ESPAÑA;ALICANTE;CASTALLA;CALLE;SIN NOMBRE;;3420
ESPAÑA;ALICANTE;CATRAL;CALLE;STA.AGUEDA;;3158
ESPAÑA;ALICANTE;CORRENTIAS (JACARILLA);CALLE;CARCASSONNE;;3310
ESPAÑA;ALICANTE;CORRENTIAS (JACARILLA);VEREDA;CHAPIEL;;
ESPAÑA;ALICANTE;CORRENTIAS (JACARILLA);CALLE;CRUZ;;3310
ESPAÑA;ALICANTE;COX;CALLE;EL ROMERO;;3350
ESPAÑA;ALICANTE;CREVILLENT;CALLE;COLOMBIA;;3330
ESPAÑA;ALICANTE;CREVILLENTE;POLIGONO;INDUSTRIAL FAIMA;;3330
ESPAÑA;ALICANTE;CREVILLENTE;CAMINO;VIEJO DE CATRAL;;3330
ESPAÑA;ALICANTE;EL CAMPELLO;POLIGONO;SAN VICENT POL EL MESELL;;3560
ESPAÑA;ALICANTE;ELCHE;CALLE;ALBERTO SOLS (PQ. IN.);ELCHE;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;ALFREDO SANCHEZ TORRES;;3206
ESPAÑA;ALICANTE;ELCHE;AVENIDA;ALICANTE;;3200
ESPAÑA;ALICANTE;ELCHE;CALLE;ALMANSA;;3205
ESPAÑA;ALICANTE;ELCHE;CALLE;ALMORIDA;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;CANDALIX;;3202
ESPAÑA;ALICANTE;ELCHE;AVENIDA;CATEDRATICO SOLER;;30008
ESPAÑA;ALICANTE;ELCHE;CALLE;CTRA CASA DEL LEON;;3293
ESPAÑA;ALICANTE;ELCHE;PLAZA;EL SALVADOR;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;GERMAN BERNACER;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;HOSPITAL;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;JOAQUIN SANTOS;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;JOSE JOAQUÍN LANDERER;;3202
ESPAÑA;ALICANTE;ELCHE;CALLE;JOSÉ MARÍA CASTAÑO MARTÍNEZ;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;JOSEP JOAQUÍN LANDERER;;3202
ESPAÑA;ALICANTE;ELCHE;CALLE;JUAN DE LA CIERVA (PQ. IN.);;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;JUAN DIAZ MARTINEZ;;3205
ESPAÑA;ALICANTE;ELCHE;CALLE;JULIO HERVAS SAINZ;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;MANUEL MACIA JUAN;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;MANUEL VICENTE PASTOR;;3206
ESPAÑA;ALICANTE;ELCHE;CALLE;MARIANO BENLLIURE;;3201
ESPAÑA;ALICANTE;ELCHE;CALLE;PARTIDA ALZABARES ALTOS;;3290
ESPAÑA;ALICANTE;ELCHE;CALLE;PARTIDA PEÑAS DE LAS AGUILAS;;
ESPAÑA;ALICANTE;ELCHE;CALLE;PEDRO JUAN PERPIÑAN;;3204
ESPAÑA;ALICANTE;ELCHE;CALLE;SAN FRANCISCO;;
ESPAÑA;ALICANTE;ELCHE;CALLE;SAN MIGUEL;;3203
ESPAÑA;ALICANTE;ELCHE;AVENIDA;SANTA POLA;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;SANTIAGO RAMON Y CAJAL;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;VICENTE ANTON SELVA;;3203
ESPAÑA;ALICANTE;ELCHE;CALLE;VICENTE BLASCO IBAÑEZ;;3201
ESPAÑA;ALICANTE;ELDA;CALLE;LIEJA;;3600
ESPAÑA;ALICANTE;ELDA;CALLE;PRINCIPE DE ASTURIAS;;3600
ESPAÑA;ALICANTE;ELDA;CALLE;QUIJOTE;;3600
ESPAÑA;ALICANTE;ELDA;PLAZA;SAGASTA;;3600
ESPAÑA;ALICANTE;ELX;CALLE;ALFONSO XII;;3203
ESPAÑA;ALICANTE;ELX;CALLE;ALMANSA;;3206
ESPAÑA;ALICANTE;ELX;CALLE;ANTONI GAUDI;;3203
ESPAÑA;ALICANTE;ELX;CALLE;ANTONIO PASCUAL QUILES;;3201
ESPAÑA;ALICANTE;ELX;CALLE;BARCHELL;;3203
ESPAÑA;ALICANTE;ELX;CALLE;BENITO PEREZ GALDOS;;3201
ESPAÑA;ALICANTE;ELX;CALLE;CAPITA BALTASAR TRISTANY;;3204
ESPAÑA;ALICANTE;ELX;CALLE;CONRADO DEL CAMPO;;3204
ESPAÑA;ALICANTE;ELX;AVENIDA;COSTA BLANCA;;3195
ESPAÑA;ALICANTE;ELX;AVENIDA;DE LA UNIVERSITAT D'ELX;;3202
ESPAÑA;ALICANTE;ELX;CALLE;EMILIO HERNANDEZ SELVA;;3205
ESPAÑA;ALICANTE;ELX;CALLE;ESPERIDION PORTA REQUESEN;;3206
ESPAÑA;ALICANTE;ELX;CALLE;FRA JAUME TORRES;;3204
ESPAÑA;ALICANTE;ELX;CALLE;LA CAPELLA DEL MISTERI;;3203
ESPAÑA;ALICANTE;ELX;CALLE;MESALINA;;3202
ESPAÑA;ALICANTE;ELX;CALLE;PABLO SURRA DE GARAY;;3205
ESPAÑA;ALICANTE;ELX;CALLE;SAN FRANCISCO ASIS;;3195
ESPAÑA;ALICANTE;ELX;CALLE;TABARCA;;3195
ESPAÑA;ALICANTE;GUARDAMAR;CALLE;MIGUEL HERNANDEZ;;
ESPAÑA;ALICANTE;GUARDAMAR DEL SEGURA;CALLE;CARTAGENA;;3140
ESPAÑA;ALICANTE;GUARDAMAR DEL SEGURA;AVENIDA;MADRID;;3140
ESPAÑA;ALICANTE;IBI;CALLE;JOAQUIN VILANOVA;;3440
ESPAÑA;ALICANTE;JAVEA;CALLE;CAMINO CABANES;;3730
ESPAÑA;ALICANTE;JAVEA;CALLE;RONDA NORTE;;3730
ESPAÑA;ALICANTE;JIJONA-XIXONA;CALLE;JOSEP Mª SAMPER;;3100
ESPAÑA;ALICANTE;LA NUCIA;CARRETERA;BENIDORM;;3500
ESPAÑA;ALICANTE;LOS MONTESINOS;AVENIDA;DEL MAR;;3187
ESPAÑA;ALICANTE;LOS MONTESINOS;CALLE;SANTOS MEDICOS;;3187
ESPAÑA;ALICANTE;MONFORTE DEL CID;CALLE;CALVARIO;;3670
ESPAÑA;ALICANTE;MUTXAMEL;PLAZA;PEÑACERRADA;;3110
ESPAÑA;ALICANTE;MUTXAMIEL;CALLE;MOLI NOU;;3110
ESPAÑA;ALICANTE;NOVELDA;CALLE;MONOVAR;;3660
ESPAÑA;ALICANTE;ORIHUELA;CALLE;24 DE AGOSTO;;3314
ESPAÑA;ALICANTE;ORIHUELA;CALLE;ABDELACIES;;3189
ESPAÑA;ALICANTE;ORIHUELA;AVENIDA;ADELFAS;;3192
ESPAÑA;ALICANTE;ORIHUELA;CALLE;AGUAMARINA;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;ALMUDENA;;3300
ESPAÑA;ALICANTE;ORIHUELA;BLOQUE                                                                                              ;ALTOS DE CAMPOAMOR BL 5;;3189
ESPAÑA;ALICANTE;ORIHUELA;AVENIDA;AMALIA ORTUÑO;;3312
ESPAÑA;ALICANTE;ORIHUELA;CALLE;ANTONIO BALAGUER;;3315
ESPAÑA;ALICANTE;ORIHUELA;CARRETERA;ARNEVA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;AV LA VEGA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;BABOR;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;BARRIO DE LOS MARQUESES;;3316
ESPAÑA;ALICANTE;ORIHUELA;URBANIZACIÓN;CALA CAPITAN;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;CALAS DE CAMPOAMOR;;3189
ESPAÑA;ALICANTE;ORIHUELA;CAMINO;CAMINO DE ENMEDIO;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;CAMPOAMOR;;3300
ESPAÑA;ALICANTE;ORIHUELA;CHALET;CHALET A;;3189
ESPAÑA;ALICANTE;ORIHUELA;CARRIL;CRISTINA I;;3189
ESPAÑA;ALICANTE;ORIHUELA;CARRIL;CRISTINA IV;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;CRISTOZALAMEA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;CTRA BIGASTRO;;3300
ESPAÑA;ALICANTE;ORIHUELA;CARRIL;DARRO;;3189
ESPAÑA;ALICANTE;ORIHUELA;AVENIDA;DE LAS ARDILLAS;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;DE LOS ESPEÑETAS;;3300
ESPAÑA;ALICANTE;ORIHUELA;AVENIDA;DE TEODOMIRO;;3300
ESPAÑA;ALICANTE;ORIHUELA;AVENIDA;DEL MAR;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;DEL ROLLO;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;DOCTOR GARCIA ROGEL;;
ESPAÑA;ALICANTE;ORIHUELA;CALLE;DOCTOR SARGET;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;DREAM HILLS;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;DUQUE TAMAMES;;3300
ESPAÑA;ALICANTE;ORIHUELA;CARRIL;EBRO;;3189
ESPAÑA;ALICANTE;ORIHUELA;URBANIZACIÓN;EL CID II;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;EXTREMADURA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CARRIL;FLORES II;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;FRANCISCO DE QUEVEDO;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;FRANCISCO RIVERA PAQUIRRI;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;FRANCISCO TORMO DE HARO;;3300
ESPAÑA;ALICANTE;ORIHUELA;CARRIL;GENOVA;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;GERARDO DIEGO;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;GUADALQUIVIR;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;ISLA CONEJERA;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;ISLA DRAGONERA;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;ISLA FORMENTERA;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;JAMES HILL;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;JOSE ANTONIO;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;LA HUERTA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;LA PARRA;;3312
ESPAÑA;ALICANTE;ORIHUELA;CALLE;LA PAZ;;3314
ESPAÑA;ALICANTE;ORIHUELA;CALLE;LAS CAPILLAS;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;LIMON;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;LOACES;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;LOS ANGELES;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;LUIS BARCALA;;3000
ESPAÑA;ALICANTE;ORIHUELA;CALLE;MATAMOROS;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;MEDICO TEMISTODES ALMAGRO;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;MIRADOR;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;MOLINO BLANCO II;;3189
ESPAÑA;ALICANTE;ORIHUELA;CARRETERA;MURCIA-ALICANTE;;3300
ESPAÑA;ALICANTE;ORIHUELA;PLAZA;NUEVA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;OBISPO ROCAMORA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;OCARASA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;ORIHOLANOS ASUENTES;;3300
ESPAÑA;ALICANTE;ORIHUELA;CARRIL;ORIHUELA A BENIEL KM 5-;;3312
ESPAÑA;ALICANTE;ORIHUELA;CALLE;ORIOLANOS AUSENTES;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;país valenciano;;
ESPAÑA;ALICANTE;ORIHUELA;CALLE;PD/ MOLINS-ARROBA DEL SOTO;;3310
ESPAÑA;ALICANTE;ORIHUELA;CALLE;PEPE BALDO;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;PINTOR AGRASOT;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;PINTOR FERNANDO FENOLL;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;PLAYA FLAMENCA II;;3189
ESPAÑA;ALICANTE;ORIHUELA;PASEO;POLIGONO INDUSTRIAL;;3300
ESPAÑA;ALICANTE;ORIHUELA;AVENIDA;PRINCIPE DE ASTURIAS;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;PROL. RONDA STO.DOMI.;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;PUNTA GLEA;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;PZA DEL CARMEN;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;PZA. GENERALISIMO;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;RAIGUERO DE LEVANTE;;3311
ESPAÑA;ALICANTE;ORIHUELA;CALLE;RE LA PRADERA;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;REGIA BAHIA;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;REYES CATOLICOS;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;RIO SEGURA;;3312
ESPAÑA;ALICANTE;ORIHUELA;CALLE;RUFINO GEA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;S.ANTº EDF.ALICANTE;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;SAN GREGORIO;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;SAN JUAN;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;SAN JUAN;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;SAN PASCUAL;;3300
ESPAÑA;ALICANTE;ORIHUELA;PLAZA;SANTA EULALIA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CARRIL;SEVILLA I;;3191
ESPAÑA;ALICANTE;ORIHUELA;CARRIL;SEVILLA III;;3191
ESPAÑA;ALICANTE;ORIHUELA;CALLE;SOL;;
ESPAÑA;ALICANTE;ORIHUELA;PLAZA;TENIENTE LINARES;;3300
ESPAÑA;ALICANTE;ORIHUELA;AVENIDA;TEODOMIRO;;
ESPAÑA;ALICANTE;ORIHUELA;AVENIDA;TEODOMIRO;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;TETUAN;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;TETUAN;;3311
ESPAÑA;ALICANTE;ORIHUELA;CARRIL;THADER;;3189
ESPAÑA;ALICANTE;ORIHUELA;CARRETERA;TIRO PICHON;;
ESPAÑA;ALICANTE;ORIHUELA;CALLE;VALENCIA;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;VENECIA;;3311
ESPAÑA;ALICANTE;ORIHUELA;CALLE;VILLA ROSA II;;3189
ESPAÑA;ALICANTE;ORIHUELA;CALLE;VIRGEN DE BELEN;;3300
ESPAÑA;ALICANTE;ORIHUELA;CALLE;VISTAMAR;;3191
ESPAÑA;ALICANTE;PETREL;CALLE;AV MADRID;;3610
ESPAÑA;ALICANTE;PILAR DE LA HORADADA;CALLE;AV COSTA BLANCA;;3190
